HolderAddress,Balance
0x9C597b64c76ecFAf793EF92D9eE62CF9D436d4Ce,167.0
0x99FE77963C79Dbc6D1A6f48a5C29DF5D5D8DA435,165.0
0x2a632f56f9BdF7b66BE80768E89631F3FeBeEd24,155.0
0x0381197F09eDA71F1c1aF1Ccf23c3FaDBA46D864,145.0
0x99999990D598B918799f38163204Bbc30611B6b6,103.0
0x4b37cAead749E6b44b96Bd371c0b918751e4EAf3,100.0
0x48Bbd2fa9a966605a56F54AAE950363fC7725747,90.0
0xed45E4f56204c7f3BF07dc935C77F5D869eE7876,87.0
0x74f20171738C6B682Fc9Bdb686f815A5722FB6CA,78.0
0x12e38aA170726662Da8073505E67500647d8E592,68.0
0xA0F6596b14959bDD634198052aE7C5a424D9962c,67.0
0x88d47fbb374D979D2c0f1C0fFdB90E1320fDc2F5,65.0
0x51230DdC0934FB613B5773Adc9D6463c8f5b8102,64.0
0x09564716E12eB2ca51f64d07d76AA88b7CDC0283,56.0
0xf256c4C027ce81cd471200A862f11124010E0D1d,49.0
0x61fF1C6EafAe677A3940F206f79CF631c490d19f,47.0
0x2BDF1a698d39A4358e2C162dEacc038FAdb8A9d5,47.0
0xa4Fd5F2d9A416AC45EfFd3B953ADad5dE9BDfc90,45.0
0x7C0B17F090b817fb056232bDCe86c18C4A57F8CF,45.0
0xc672604D798d8cBd0cf2cC654099F82bD02647AB,40.0
0xBf4b82d55d4B9481c2C7A0D17227ad60a97AA0d5,39.0
0x59b2B5494555844640A6B2000Cf88208842b0091,39.0
0xAB4ce2a08cBeA809692218DD7841F681B80069A9,38.0
0xfF8E23bcacCFC51edA6daB3476EAf8bb3065cADe,35.0
0xDB4900b3D83d33266e0b170D73E4070cA6Ddd503,35.0
0xF28210b6770cf71FaE9845f1993b0abB5C0e70C5,34.0
0x172BC87c3eADc21606d62825398fd24D6D6961ef,33.0
0x09306cFea01e396F89De0Ee00474657b4C86D55b,30.0
0xf6032d80fF8C0CcE8FF17CA206701b9b4a623000,29.0
0x9cD5786785Ab904df0c8c953c19529a7Ae89bc61,29.0
0x24B0618B09B3B0d984293abC80bA338C0F87741c,29.0
0xC7581E77Dfdb552296a3aA88445Fd60c48020E8d,26.0
0xf195783712CD8bA0CDE17b837736eB3594e84E7f,24.0
0xcEf00595A2377e2239524106E6117c8599ac6455,24.0
0x2de212a155d4a280b98c23067c3c4d7fe923Ac0F,24.0
0x34c9585EE9086aBab5328189fC7f98aa82fEFBa6,23.0
0x6b08267F552a89f03a75A355f3Bf8CE3ACFe47F9,22.0
0x5cEa609563Cd756D8ABD20D9EDBB82E0c5cF5D87,22.0
0x26F9f61aC446e7aECaf92852Ee6a767c3b321910,22.0
0xed7646046603F5F661d789964ea86233Dce0E297,21.0
0xca95C645F3aAe389EDd44f080e7a5E7317cBd50d,21.0
0xbA9544045a1CE93E0AfAFF1E547aaC7D05627EE8,21.0
0x612C45551195f15Bf05D722b9f137C914b077FC7,21.0
0x2Ee4c45af89774c76A8a73178C281089A8771A00,21.0
0x1cEE788C7b10edbF2bA374a77806456a40BBaF2c,21.0
0xBcE9A7d8Be471C2E58538A200814f6089F935399,20.0
0xa9E455dC04653DCC3F35Ff3eB90a5C609bFE2Ba2,20.0
0x7Ef9cACa1E0123Cc2527b0C5333af72236442165,20.0
0x64569eE24a617E266a375866F00E3037Fc7922be,20.0
0x48f3b8871c0da97c2db6ec35e0961fC269870d63,20.0
0xDABc594e331F3cC74D97dA9C2ad3cAB557bC3FbB,19.0
0xD53F450865FC6eA2D9BF38231AAc358EeB137C84,19.0
0x4B256C81286fd23c13b543607fB0D56aAD503530,19.0
0x4670A6d958F50B60cb791d20f9228B909746A79a,19.0
0x1B7316036312c983DB185adFe0fc22C1826573d1,19.0
0x9F80bAA9fE31Ba53Ba590CeA342C3D0E6809eDAb,18.0
0x83cFc17a8c4DCfB968d8D97A86206e41f1781391,18.0
0xF47389984E8E3134855976CDE8b8Ea5598dF6D59,17.0
0xEf723D08c480319b0A19986d445Cbe92F02F6666,17.0
0x5C8d0200761CfeE5CF277cf814770D882Ae9FA13,17.0
0x288e6cffbbD9a329f6fb40D68CF084E7F713D7F4,17.0
0xE97022E3e50Ac76D20f5138141d79f65aCf3bc82,16.0
0x9cb1DA2725A17920f7aEc0999331CB097CF7F4b4,16.0
0x6EEf09B526d883F98762a7005FABD2c800DfCA44,16.0
0x4Cd261649A29434b05F095E3f4313eA751770100,16.0
0x2F1D9c7ba44F5B72f0AD1bad2af5F9dF7EE7d508,16.0
0xe07A05DD649B2B37239241C0F8b5ef7a5BcECF7D,15.0
0x175bd4c0392F535aD9A83fc3C7f56AcD0e928c5f,15.0
0xA9Ee9B9620556054D5e400d0c12BA6393EfBc05e,14.0
0x71a2a425DeB623De19b34ad6C9C006dA6eF639Af,14.0
0x3aa9962b3051e57Bb2eEfaC689173B5741c9C989,14.0
0x238Fe6FE4b456d153525c9322a994f883D1E59B8,14.0
0xAc9203F8A8856f50BeE340FE26a24a81a5011872,13.0
0x74F51484484252D44D74CbC6D3e0380B6939bfCf,13.0
0x4f7041E0264Ebb6B51Ea22e66de7dDEbDAcDCF08,13.0
0x1Fd50f346d8c3f7c519f0e595d4c18A5eF38C17c,13.0
0xAE80a091EFd5F808371C723F8ea82Bb6560f9b10,12.0
0xA97C1558eF6ad1E136d8Ee7E9701A72b2571Ebd5,12.0
0x894b1bE633b7FaECcb088489d50202300511D474,12.0
0x65c76A684dBFd773BAB8a7463E7498686BaFD833,12.0
0x51f1EA9Aa6211F2c163b195aB8a35f4886bbF81A,12.0
0x36721cB34C08054A1CcB7199e21Ef15f74105196,12.0
0xdbAea2ACe359e79e43BFAfE1b893aA08c3646Ab1,11.0
0xBa88D32A76DE9e17414DbD0EA3C47D0036511c7c,11.0
0xA1922c47AA67c41B1c1E877E9919f5Ef29C99373,11.0
0x958914bc3Fc61629dcc5c11Ce9d2E1DC254F3E57,11.0
0x8F429505d4CB9865a965D1142cB651fc6e065EbD,11.0
0x60c4ae0EE854a20eA7796a9678090767679B30FC,11.0
0x38fCb8B86ED46210706e7C71438C09a53Ef19FCA,11.0
0x212d0945FAbe82A312f0eA6c61A50b4d66897029,11.0
0xf6784DbCd92b2eC36B496a303DE36ED427CE6CDb,10.0
0xEEfc04cDAC13C49ceD4ec03BE7345b9a55555e2f,10.0
0xEa9F8D4a2349EC791d50C280B7BCf28E837ce4F3,10.0
0xdb0F28c9F7d0f33B04D2a8ea24391A1527876D8B,10.0
0xC279ccE107A9272FfEc07CB1b7471491c2FEe5A2,10.0
0xbE3F28b8D1b4006943D25D42d7472376dd9A720e,10.0
0xa638aC33d8899552fC784615C625490b682EdBe8,10.0
0x8AB420C73849d0Af48C4FA0105F8C6f47351B92a,10.0
0x876133657F5356e376B7ae27d251444727cE9488,10.0
0x77FfEA617CB5E85f30EacA48d420df7E48B3c633,10.0
0x65A6d54fF032B4f62ac8D8666f8c0Ff6aF403122,10.0
0x5dead1f49F17A4463956A5B6aabd6D96A900337D,10.0
0x46E0D6360C4115fb765C212105539DE5e2F1415d,10.0
0x2888Eecd915fbb6BE65dac1d51cD48a340E3Ab1f,10.0
0x2625b4da309819cB8b5eb8aeE13c86ad0e097Ef6,10.0
0x0c292b971aD6C34a1581f51840A8E1ACb7274494,10.0
0x01e3ccB0F1822f036587912e7459Bd075e5d5A13,10.0
0xFfb8C9ec9951B1d22AE0676A8965de43412CeB7d,9.0
0xEc8541d68a2f66690c2B45E8908Fde7E3B3e1bce,9.0
0xE73338b403e5d3b2175B1752213Aa723cc7fDb05,9.0
0xD3Fb551a69311F6fB8229688057a0eEb56f38Ed7,9.0
0xd052C609c806EE3465F5c9867a4142083CB8FB5d,9.0
0xbF19Db39EC9e5e4017d48E7dB8631b33F5e16b64,9.0
0xB3302b10F9b977056eCdf19375E71278C3d37B5E,9.0
0x7D0051Dd1b619fB0Ddf77d61Bd7131C5Be5CDA08,9.0
0x49FeF3B732D8397BCCFEf412873D29DE4e7D9316,9.0
0x3beD7992aC45d31BBCD37d2fD793e2229dDD16aa,9.0
0xFbe9C08c6D03c8f9a100Bdf10A4e4804aeBFbbEF,8.0
0xeceb60850813944E9a768E712C1E7EC921B331A4,8.0
0xE0E20C2c4d000454De07a8E6A69833B60a41b678,8.0
0xDaC86E3EcDf4Dc8535dC036e166a89f34A62f278,8.0
0xD9Ba5c0a4162246Fa0E7537245Ee318591379B02,8.0
0xcf576C1d6b7a7EE9Ae3A9A235DFa9De0d4B5bfB4,8.0
0xc93678EC2b974a7aE280341cEFeb85984a29FFF7,8.0
0xC30f50fd74259B9ef1eDB705244e737f5A39d3AB,8.0
0xBf893782ac8681f9fcBcD45C29f0B8e7f5cC2130,8.0
0xbAf3aD6542f932cC0E0b54983e82E0cFb7c5a5a1,8.0
0xA9E301f32713F28D658E24203b3C453753712500,8.0
0xa5437c9d2f62F79AE22B1DbD0a735feec7CEF6A7,8.0
0xA4341049A1519b5A080f626506A0870f79ccfC0d,8.0
0xa0B4D4f530C77D05f6071d1CAD416Ce0e48669B6,8.0
0x82dcba7a8bF3AA462040038eCB3d5d90901676E8,8.0
0x7a44a31423A2eb681d9f5cCD918Acb0879578901,8.0
0x76395150eFf1e8Bba213d9A467AD251981Efe61F,8.0
0x76041C1eCcE8D9c8BBA3F14901032f64c2D482cE,8.0
0x69252D3FA5E80C1639B57a1702d85Fb82628580A,8.0
0x5D98609F4a43ED4d36DAe38A58365B352109C7a6,8.0
0x55F5429343891f0a2b2A8da63a48E82DA8D9f2F6,8.0
0x41F23deb11ddf9578Bd9C46a45f0BCc9cc808f95,8.0
0x3865c5BBfF78C6AAcc64F0cC0E45C40e231Ef703,8.0
0x38484953b0adaeB3b5Fe20C1722b1f8E1E069Aa9,8.0
0x2Db32135a8dA6BF5e6977d32Ce17D61826ed8bf1,8.0
0x2BA5070AAa329Ac4c4C1FDC64447FFa51aFbca56,8.0
